Player,Team,years_with_team,draft_pos,all_star,num_teams,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,ig_followers,resigned,Agent
Justin James,14,2,40,0,1,24,36,15,21,8.6,3.9,1.4,3.1,46.8,0.4,1.1,36.8,0.6,1.0,58.3,0.3,0.6,0.8,0.6,0.4,0.2,0.1,0.6,6.3,0.0,0.0,-1.6,0,0,0.0
LaMarcus Aldridge,8,1,2,7,3,35,26,15,11,25.9,13.5,5.4,11.4,47.3,1.2,3.1,38.8,1.6,1.8,87.2,0.7,3.8,4.5,1.9,1.0,0.4,1.1,1.8,25.4,1.0,0.0,-1.3,0,1,0.0
James Wiseman,0,1,2,0,1,20,39,18,21,21.4,11.5,4.9,9.4,51.9,0.3,1.0,31.6,1.4,2.2,62.8,1.4,4.4,5.8,0.7,1.5,0.3,0.9,3.1,21.5,3.0,0.0,-4.7,476036,1,0.0
DeMar DeRozan,22,2,9,4,2,31,61,27,34,33.7,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88.0,0.7,3.6,4.2,6.9,2.0,0.9,0.2,2.1,38.6,13.0,0.0,-1.7,3341342,0,16.0
Abdel Nader,12,1,58,0,2,27,24,16,8,14.8,6.7,2.4,4.8,49.1,0.8,1.8,41.9,1.2,1.5,75.7,0.3,2.3,2.6,0.8,0.8,0.4,0.4,1.4,12.5,0.0,0.0,1.2,0,1,0.0
Carsen Edwards,9,2,33,0,1,23,31,14,17,8.9,4.0,1.5,3.6,42.3,0.6,2.0,28.6,0.4,0.4,84.6,0.1,0.7,0.8,0.5,0.2,0.2,0.0,0.8,6.2,0.0,0.0,-0.8,0,1,0.0
Zion Williamson,7,2,1,1,1,20,61,29,32,33.2,27.0,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,43.2,14.0,0.0,1.5,5089165,1,0.0
Malik Beasley,17,1,19,0,2,24,37,8,29,32.8,19.6,7.1,16.2,44.0,3.5,8.7,39.9,1.8,2.2,85.0,0.8,3.6,4.4,2.4,1.6,0.8,0.2,1.7,29.8,0.0,0.0,-5.3,244189,1,85.0
Onyeka Okongwu,13,1,6,0,1,20,50,31,19,12.0,4.6,1.9,3.0,64.4,0.0,0.1,0.0,0.7,1.1,63.2,1.2,2.0,3.3,0.4,0.6,0.5,0.7,2.0,11.8,2.0,0.0,-1.8,163601,1,26.0
Luke Kornet,9,1,61,0,3,25,31,13,18,11.2,3.4,1.4,3.3,43.6,0.5,1.9,25.4,0.1,0.2,50.0,0.5,1.7,2.2,0.8,0.2,0.1,1.0,0.6,10.4,0.0,0.0,1.7,0,1,0.0
Anthony Gill,1,1,61,0,1,28,26,11,15,8.4,3.1,1.2,2.3,50.0,0.3,0.9,29.2,0.5,0.6,81.3,0.6,1.3,2.0,0.4,0.3,0.4,0.2,1.0,7.4,0.0,0.0,-0.7,0,1,0.0
