Rank,Player,Team,Followers
128,Tyus Jones,Phoenix Suns,406 023
129,Gradey Dick,Toronto Raptors,405 060
130,Jaden Hardy,Dallas Mavericks,403 667
131,Taj Gibson,Charlotte Hornets,400 231
132,Jusuf Nurkic,Phoenix Suns,393 866
133,Bones Hyland,Los Angeles Clippers,387 865
134,Domantas Sabonis,Sacramento Kings,381 781
135,Chris Duarte,Chicago Bulls,376 905
136,Grayson Allen,Phoenix Suns,373 387
137,Dalton Knecht,Los Angeles Lakers,368 723
138,Jalen Williams,Oklahoma City Thunder,334 036
139,Myles Turner,Indiana Pacers,328 827
140,Spencer Dinwiddie,Dallas Mavericks,328 092
141,Tre Mann,Charlotte Hornets,326 603
142,Naz Reid,Minnesota Timberwolves,323 284
143,Matisse Thybulle,Portland Trail Blazers,322 442
144,Ausar Thompson,Detroit Pistons,320 180
145,Bobby Portis,Milwaukee Bucks,315 211
146,Norman Powell,Los Angeles Clippers,314 227
147,J.D. Davison,Boston Celtics,310 952
148,Jaxson Hayes,Los Angeles Lakers,307 948
149,Talen Horton-Tucker,Chicago Bulls,307 492
150,Max Christie,Los Angeles Lakers,302 142
151,Obi Toppin,Indiana Pacers,301 258
152,Nicolas Batum,Los Angeles Clippers,298 843
153,OG Anunoby,New York Knicks,295 572
154,Monte Morris,Phoenix Suns,284 518
155,Tre Jones,San Antonio Spurs,283 467
156,Duncan Robinson,Miami Heat,279 491
157,Damion Lee,Phoenix Suns,277 370
158,Immanuel Quickley,Toronto Raptors,277 098
159,Grant Williams,Charlotte Hornets,276 718
160,Jarrett Allen,Cleveland Cavaliers,276 414
161,Moe Wagner,Orlando Magic,275 591
162,Dereck Lively II,Dallas Mavericks,269 440
163,Jonas Valanciunas,Washington Wizards,265 604
164,Franz Wagner,Orlando Magic,264 494
165,Brandon Miller,Charlotte Hornets,263 848
166,Deni Avdija,Portland Trail Blazers,258 107
167,Josh Richardson,Miami Heat,254 051
168,Matas Buzelis,Chicago Bulls,253 307
169,Brandin Podziemski,Golden State Warriors,251 271
170,Desmond Bane,Memphis Grizzlies,248 402
171,Quentin Grimes,Dallas Mavericks,248 251
172,"Gary Trent, Jr.",Milwaukee Bucks,247 947
173,Cam Thomas,Brooklyn Nets,246 179
174,Matt Ryan,New Orleans Pelicans,245 682
175,Malik Beasley,Detroit Pistons,244 189
176,Christian Braun,Denver Nuggets,244 129
177,Cameron Johnson,Brooklyn Nets,242 947
178,Nikola Jovic,Miami Heat,242 207
179,Evan Mobley,Cleveland Cavaliers,242 053
180,Eric Gordon,Philadelphia Sixers,239 779
181,Christian Wood,Los Angeles Lakers,237 627
182,Taurean Prince,Milwaukee Bucks,237 101
183,Caris LeVert,Cleveland Cavaliers,235 223
184,Jaden Ivey,Detroit Pistons,234 768
185,Robert Williams,Portland Trail Blazers,233 445
186,Moses Moody,Golden State Warriors,231 880
187,Doug McDermott,Sacramento Kings,224 780
188,Caleb Martin,Philadelphia Sixers,224 326
189,Luguentz Dort,Oklahoma City Thunder,222 482
190,Reggie Jackson,Charlotte Hornets,215 917
191,Lester Quinones,Philadelphia Sixers,212 708
192,Davion Mitchell,Toronto Raptors,212 697
193,MarJon Beauchamp,Milwaukee Bucks,212 059
194,Dante Exum,Dallas Mavericks,211 016
195,Jerami Grant,Portland Trail Blazers,210 615
196,Anfernee Simons,Portland Trail Blazers,209 830
197,Ayo Dosunmu,Chicago Bulls,209 022
198,Dillon Brooks,Houston Rockets,201 303
199,Luke Kennard,Memphis Grizzlies,200 970
200,Shaedon Sharpe,Portland Trail Blazers,197 105
201,Precious Achiuwa,New York Knicks,192 445
202,Josh Green,Charlotte Hornets,190 144
203,John Collins,Utah Jazz,188 748
204,Bennedict Mathurin,Indiana Pacers,186 626
205,Derrick Rose,Memphis Grizzlies,184 266
206,Kyle Anderson,Golden State Warriors,183 982
207,Neemias Queta,Boston Celtics,183 301
208,Reed Sheppard,Houston Rockets,182 148
209,Keyonte George,Utah Jazz,181 191
210,A.J. Johnson,Milwaukee Bucks,180 965
211,Daniel Theis,New Orleans Pelicans,178 848
212,Mitchell Robinson,New York Knicks,176 575
213,Jaylin Williams,Oklahoma City Thunder,176 133
214,Pat Connaughton,Milwaukee Bucks,175 905
215,Simone Fontecchio,Detroit Pistons,175 070
216,Jordan Walsh,Boston Celtics,175 055
217,Gabe Vincent,Los Angeles Lakers,174 714
218,Jalen Duren,Detroit Pistons,172 853
219,Chris Boucher,Toronto Raptors,172 247
220,Jaden Springer,Boston Celtics,171 512
221,Stephon Castle,San Antonio Spurs,171 043
222,Kelly Olynyk,Toronto Raptors,170 628
223,Daniel Gafford,Dallas Mavericks,170 538
224,Isaac Okoro,Cleveland Cavaliers,170 222
225,"Jabari Smith, Jr.",Houston Rockets,167 179
